Symbol	Synonyms	chromosome	strand	start	end	GeneID	ensembl_id
EAPP	BM036|C14orf11	14	-1.0	34515938.0	34539704.0	55837	ENSG00000129518
CENPN	BM039|C16orf60|CENP-N|ICEN32	16	1.0	81006552.0	81033114.0	55839	ENSG00000166451
EAF2	BM040|TRAITS|U19	3	1.0	121835183.0	121886526.0	55840	ENSG00000145088
WWC3	BM042	X	1.0	10015254.0	10144474.0	55841	ENSG00000047644
ARHGAP15	BM046	2	1.0	143091362.0	143768352.0	55843	ENSG00000075884
PPP2R2D	B55D|B55delta|MDS026	10	1.0	131901008.0	131959834.0	55844	ENSG00000175470
BRK1	C3orf10|HSPC300|MDS027|hHBrk1	3	1.0	10115675.0	10127190.0	55845	ENSG00000254999
ITFG2	FGGAP1|KICS3|MDS028	12	1.0	2812622.0	2859791.0	55846	ENSG00000111203
CISD1	C10orf70|MDS029|ZCD1|mitoNEET	10	1.0	58269162.0	58289586.0	55847	ENSG00000122873
PLGRKT	AD025|C9orf46|MDS030|PLG-RKT|Plg-R(KT)	9	-1.0	5357971.0	5437925.0	55848	ENSG00000107020
USE1	D12|MDS032|P31|SLT1	19	1.0	17215346.0	17219829.0	55850	ENSG00000053501
PSENEN	ACNINV2|MDS033|MSTP064|PEN-2|PEN2	19	1.0	35745600.0	35747519.0	55851	ENSG00000205155
TEX2	HT008|TMEM96	17	-1.0	64147227.0	64263260.0	55852	ENSG00000136478
IDI2-AS1	C10orf110|HT009|IDI2-AS	10	1.0	1022618.0	1045425.0	55853	ENSG00000232656
ZC3H15	DFRP1|HT010|LEREPO4|MSTP012	2	1.0	186486253.0	186509361.0	55854	ENSG00000065548
DENND10P1	FAM45B|FAM45BP|HT011	X	1.0	129500000.0	131300000.0	55855	
ACOT13	HT012|PNAS-27|THEM2	6	1.0	24667035.0	24705065.0	55856	ENSG00000112304
KIZ	C20orf19|HT013|Kizuna|NCRNA00153|PLK1S1|RP69	20	1.0	21125983.0	21246622.0	55857	ENSG00000088970
TMEM165	CDG2K|FT27|GDT1|SLC64A1|TMPT27|TPARL	4	1.0	55395957.0	55453397.0	55858	ENSG00000134851
BEX1	BEX2|HBEX2|HGR74-h	X	-1.0	103062651.0	103064171.0	55859	ENSG00000133169
ACTR10	ACTR11|Arp10|Arp11|HARP11	14	1.0	58200080.0	58235636.0	55860	ENSG00000131966
DBNDD2	C20orf35|CK1BP|HSMNP1	20	1.0	45406057.0	45410610.0	55861	ENSG00000244274
ECHDC1	HEL-S-76|MMCD|dJ351K20.2	6	-1.0	127288712.0	127343609.0	55862	ENSG00000093144
TMEM126B	HT007|MC1DN29	11	1.0	85628573.0	85636539.0	55863	ENSG00000171204
SLC22A11	OAT4|hOAT4	11	1.0	64555690.0	64572875.0	55867	ENSG00000168065
HDAC8	CDA07|CDLS5|HD8|HDACL1|KDAC8|MRXS6|RPD3|WTS	X	-1.0	72329516.0	72573101.0	55869	ENSG00000147099
ASH1L	ASH1|ASH1L1|KMT2H|MRD52	1	-1.0	155335268.0	155563162.0	55870	ENSG00000116539
ZNG1A	CBWD1|COBP	9	-1.0	120837.0	179147.0	55871	ENSG00000172785
PBK	CT84|HEL164|Nori-3|SPK|TOPK	8	-1.0	27809624.0	27838082.0	55872	ENSG00000168078
GSDMB	GSDMB-1|GSDML|PP4052|PRO2521	17	-1.0	39904595.0	39919854.0	55876	ENSG00000073605
GABRQ	THETA	X	1.0	152637895.0	152657542.0	55879	ENSG00000268089
WSB2	SBA2	12	-1.0	118032687.0	118062430.0	55884	ENSG00000176871
LMO3	RBTN3|RBTNL2|RHOM3|Rhom-3	12	-1.0	16548372.0	16610594.0	55885	ENSG00000048540
ZKSCAN7	ZFP|ZNF167|ZNF448|ZNF64|ZSCAN39	3	1.0	44555193.0	44594173.0	55888	ENSG00000196345
GOLGA6B	GOLGA|GOLGA6D	15	1.0	72654697.0	72669599.0	55889	ENSG00000215186
GPRC5C	RAIG-3|RAIG3	17	1.0	74424851.0	74451653.0	55890	ENSG00000170412
LENEP	LEP503	1	1.0	154993586.0	154994315.0	55891	ENSG00000163352
MYNN	OSZF|SBBIZ1|ZBTB31|ZNF902	3	1.0	169773396.0	169789716.0	55892	ENSG00000085274
ZNF395	HDBP-2|HDBP2|HDRF-2|PBF|PRF-1|PRF1|Si-1-8-14	8	-1.0	28345590.0	28402701.0	55893	ENSG00000186918
DEFB103B	BD-3|DEFB-3|DEFB103|DEFB3|HBD-3|HBD3|HBP-3|HBP3	8	-1.0	7428888.0	7430348.0	55894	ENSG00000177243
MESP1	bHLHc5	15	-1.0	89749875.0	89751249.0	55897	ENSG00000166823
UNC45A	GC-UNC45|GCUNC-45|GCUNC45|IRO039700|OOHE|SMAP-1|SMAP1|UNC-45A	15	1.0	90930180.0	90954093.0	55898	ENSG00000140553
ZNF302	HSD16|MST154|MSTP154|ZNF135L|ZNF140L|ZNF327	19	1.0	34677639.0	34686397.0	55900	ENSG00000089335
THSD1	ANIB12|LMPHM13|TMTSP|UNQ3010	13	-1.0	52377167.0	52416373.0	55901	ENSG00000136114
ACSS2	ACAS2|ACECS|ACS|ACSA|AceCS1|dJ1161H23.1	20	1.0	34872146.0	34927962.0	55902	ENSG00000131069
KMT2E	HDCMC04P|MLL5|NKp44L|ODLURO|SETD5B	7	1.0	104940943.0	105115019.0	55904	ENSG00000005483
RNF114	PSORS12|ZNF313	20	1.0	49936336.0	49953885.0	55905	ENSG00000124226
ZC4H2	HCA127|KIAA1166|MCS|MRXS4|WRWF|WRWFFR|WWS	X	-1.0	64915802.0	65034713.0	55906	ENSG00000126970
CMAS	CSS	12	1.0	22046218.0	22065674.0	55907	ENSG00000111726
ANGPTL8	C19orf80|PRO1185|PVPA599|RIFL|TD26	19	1.0	11237502.0	11241943.0	55908	ENSG00000130173
BIN3	-	8	-1.0	22620418.0	22669148.0	55909	ENSG00000147439
APOBR	APOB100R|APOB48R	16	1.0	28494643.0	28498964.0	55911	ENSG00000184730
ERBIN	ERBB2IP|HEL-S-78|LAP2	5	1.0	65883128.0	66082546.0	55914	ENSG00000112851
LANCL2	GPR69B|TASP	7	1.0	55365337.0	55433737.0	55915	ENSG00000132434
NXT2	P15-2	X	1.0	109535781.0	109544698.0	55916	ENSG00000101888
CTTNBP2NL	-	1	1.0	112396214.0	112463456.0	55917	ENSG00000143079
RCC2	TD-60	1	-1.0	17406760.0	17439677.0	55920	ENSG00000179051
NKRF	ITBA4|NRF	X	-1.0	119588337.0	119606443.0	55922	ENSG00000186416
INKA2	C1orf183|FAM212B	1	-1.0	111680630.0	111755824.0	55924	ENSG00000197852
DMAP1	DNMAP1|DNMTAP1|EAF2|MEAF2|SWC4	1	1.0	44213455.0	44220681.0	55929	ENSG00000178028
MYO5C	-	15	-1.0	52192322.0	52295804.0	55930	ENSG00000128833
APOM	G3a|HSPC336|NG20|apo-M	6	1.0	31652416.0	31658210.0	55937	ENSG00000204444
ZMAT5	SNRNP20|U11/U12-20K|ZC3H19	22	-1.0	29730956.0	29767011.0	55954	ENSG00000100319
LIN37	F25965|ZK418.4|lin-37	19	1.0	35748361.0	35754519.0	55957	ENSG00000267796
KLHL9	-	9	-1.0	21329665.0	21335404.0	55958	ENSG00000198642
SULF2	HSULF-2	20	-1.0	47656197.0	47786616.0	55959	ENSG00000196562
SEPTIN3	SEP3|SEPT3|bK250D10.3	22	1.0	41969443.0	41998221.0	55964	ENSG00000100167
AJAP1	MOT8|SHREW-1|SHREW1	1	1.0	4654609.0	4792534.0	55966	ENSG00000196581
NDUFA12	B17.2|DAP13|MC1DN23	12	-1.0	94895297.0	95003748.0	55967	ENSG00000184752
NSFL1C	P47|UBX1|UBXD10|UBXN2C|dJ776F14.1	20	-1.0	1442162.0	1473842.0	55968	ENSG00000088833
RAB5IF	C20orf24|CFSMR2|OPTI|PNAS-11|RCAF1|RIP5	20	1.0	36605779.0	36612557.0	55969	ENSG00000101084
GNG12	HG3A	1	-1.0	67701475.0	67833467.0	55970	ENSG00000172380
BAIAP2L1	IRTKS	7	-1.0	98291650.0	98401090.0	55971	ENSG00000006453
SLC25A40	MCFP	7	-1.0	87833568.0	87876360.0	55972	ENSG00000075303
BCAP29	B29|BAP29	7	1.0	107580246.0	107629170.0	55973	ENSG00000075790
SLC50A1	HsSWEET1|RAG1AP1|SCP|SWEET1|slv	1	1.0	155135344.0	155138857.0	55974	ENSG00000169241
KLHL7	CISS3|KLHL6|PERCHING|SBBI26	7	1.0	23105758.0	23177914.0	55975	ENSG00000122550
CFC1	CFC1B|CRYPTIC|DTGA2|HTX2	2	-1.0	130592165.0	130599575.0	55997	ENSG00000136698
NXF5	-	X	1.0	99100000.0	103300000.0	55998	ENSG00000290798
NXF4	-	X	1.0	102549965.0	102571695.0	55999	ENSG00000290811
NXF3	-	X	-1.0	103075810.0	103093143.0	56000	ENSG00000147206
NXF2	CT39|TAPL-2|TCP11X2	X	1.0	102247167.0	102326722.0	56001	ENSG00000269405
MYDGF	C19orf10|EUROIMAGE1875335|IL25|IL27|IL27w|R33729_1|SF20	19	-1.0	4641374.0	4670362.0	56005	ENSG00000074842
SMG9	C19orf61|F17127_1|HBMS|NEDITPO	19	-1.0	43727983.0	43754962.0	56006	ENSG00000105771
BARX1	-	9	-1.0	93951627.0	93955355.0	56033	ENSG00000131668
PDGFC	FALLOTEIN|SCDGF	4	-1.0	156760454.0	156971799.0	56034	ENSG00000145431
ALG1	CDG1K|HMAT1|HMT-1|HMT1|MT-1|Mat-1|hMat-1	16	1.0	5033702.0	5087379.0	56052	ENSG00000033011
UBFD1	UBPH	16	1.0	23557721.0	23574389.0	56061	ENSG00000103353
KLHL4	DKELCHL|KHL4	X	1.0	87517409.0	87670050.0	56062	ENSG00000102271
TMEM234	AASL548|C1orf91|PRO1105|RP4-622L5|dJ622L5.7	1	-1.0	32214472.0	32222359.0	56063	ENSG00000160055
PCDHGC5	PCDH-GAMMA-C5	5	1.0	141489081.0	141512975.0	56097	ENSG00000240764
PCDHGC4	NEDGS|PCDH-GAMMA-C4	5	1.0	141484997.0	141512975.0	56098	ENSG00000242419
PCDHGB7	ME6|PCDH-GAMMA-B7	5	1.0	141417645.0	141512975.0	56099	ENSG00000254122
PCDHGB6	PCDH-GAMMA-B6	5	1.0	141408021.0	141512975.0	56100	ENSG00000253305
PCDHGB5	PCDH-GAMMA-B5	5	1.0	141397947.0	141512975.0	56101	ENSG00000276547
PCDHGB3	PCDH-GAMMA-B3	5	1.0	141370242.0	141512975.0	56102	ENSG00000262209
PCDHGB2	PCDH-GAMMA-B2	5	1.0	141359994.0	141512975.0	56103	ENSG00000253910
PCDHGB1	PCDH-GAMMA-B1	5	1.0	141350099.0	141512975.0	56104	ENSG00000254221
PCDHGA11	PCDH-GAMMA-A11	5	1.0	141421047.0	141512975.0	56105	ENSG00000253873
PCDHGA10	PCDH-GAMMA-A10	5	1.0	141412987.0	141512975.0	56106	ENSG00000253846
PCDHGA9	PCDH-GAMMA-A9	5	1.0	141402778.0	141512975.0	56107	ENSG00000261934
PCDHGA7	PCDH-GAMMA-A7	5	1.0	141382739.0	141512975.0	56108	ENSG00000253537
PCDHGA6	PCDH-GAMMA-A6	5	1.0	141373891.0	141512975.0	56109	ENSG00000253731
PCDHGA5	CDH-GAMMA-A5|ME3|PCDH-GAMMA-A5	5	1.0	141364162.0	141512975.0	56110	ENSG00000253485
PCDHGA4	PCDH-GAMMA-A4	5	1.0	141355021.0	141512975.0	56111	ENSG00000262576
PCDHGA3	PCDH-GAMMA-A3	5	1.0	141343829.0	141512975.0	56112	ENSG00000254245
PCDHGA2	PCDH-GAMMA-A2	5	1.0	141338760.0	141512975.0	56113	ENSG00000081853
PCDHGA1	PCDH-GAMMA-A1	5	1.0	141330514.0	141512975.0	56114	ENSG00000204956
PCDHG@	PCDH2|PCDH4|PCDHG	5	1.0	140100000.0	145100000.0	56115	
PCDHB@	PCDH3	5	1.0	140100000.0	145100000.0	56116	
PCDHA@	CNR1|CNRS1	5	1.0	140100000.0	145100000.0	56117	
PCDHACT	PCDHAC	5	1.0	140100000.0	145100000.0	56119	
PCDHGB8P	PCDH-PSI3	5	1.0	141426286.0	141429158.0	56120	ENSG00000248449
PCDHB15	PCDH-BETA15	5	1.0	141245395.0	141249365.0	56121	ENSG00000113248
PCDHB14	PCDH-BETA14	5	1.0	141223343.0	141227759.0	56122	ENSG00000120327
PCDHB13	PCDH-BETA13	5	1.0	141213919.0	141218979.0	56123	ENSG00000187372
PCDHB12	PCDH-BETA12	5	1.0	141208697.0	141212571.0	56124	ENSG00000120328
PCDHB11	ME2|PCDH-BETA11	5	1.0	141199610.0	141203779.0	56125	ENSG00000197479
PCDHB10	PCDH-BETA10|PCHB10	5	1.0	141192353.0	141195647.0	56126	ENSG00000120324
PCDHB9	PCDH-BETA9|PCDH3H	5	1.0	141187127.0	141191541.0	56127	ENSG00000177839
PCDHB8	PCDH-BETA8|PCDH3I	5	1.0	141177790.0	141180539.0	56128	ENSG00000120322
PCDHB7	PCDH-BETA7	5	1.0	141172644.0	141176383.0	56129	ENSG00000113212
PCDHB6	PCDH-BETA6	5	1.0	141150057.0	141153287.0	56130	ENSG00000113211
PCDHB4	PCDH-BETA4	5	1.0	141121818.0	141125623.0	56131	ENSG00000081818
PCDHB3	PCDH-BETA3	5	1.0	141100473.0	141103827.0	56132	ENSG00000113205
PCDHB2	PCDH-BETA2	5	1.0	141094606.0	141098703.0	56133	ENSG00000112852
PCDHAC2	PCDH-ALPHA-C2	5	1.0	140966470.0	141012347.0	56134	ENSG00000243232
PCDHAC1	PCDH-ALPHA-C1	5	1.0	140926299.0	141012347.0	56135	ENSG00000248383
PCDHA13	CNR5|CNRN5|CNRS5|CRNR5|PCDH-ALPHA13	5	1.0	140882124.0	141012347.0	56136	ENSG00000239389
PCDHA12	PCDH-ALPHA12	5	1.0	140875302.0	141012347.0	56137	ENSG00000251664
PCDHA11	CNR7|CNRN7|CNRS7|CRNR7|PCDH-ALPHA11	5	1.0	140868183.0	141012347.0	56138	ENSG00000249158
PCDHA10	CNR8|CNRN8|CNRS8|CRNR8|PCDH-ALPHA10	5	1.0	140855883.0	141012347.0	56139	ENSG00000250120
PCDHA8	PCDH-ALPHA8	5	1.0	140841187.0	141012347.0	56140	ENSG00000204962
PCDHA7	CNR4|CNRN4|CNRS4|CRNR4|PCDH-ALPHA7	5	1.0	140834248.0	141012347.0	56141	ENSG00000204963
PCDHA6	CNR2|CNRN2|CNRS2|CRNR2|PCDH-ALPHA6	5	1.0	140827958.0	141012347.0	56142	ENSG00000081842
PCDHA5	CNR6|CNRN6|CNRS6|CRNR6|PCDH-ALPHA5	5	1.0	140821604.0	141012347.0	56143	ENSG00000204965
PCDHA4	CNR1|CNRN1|CRNR1|PCDH-ALPHA4	5	1.0	140807037.0	141012347.0	56144	ENSG00000204967
PCDHA3	PCDH-ALPHA3	5	1.0	140801028.0	141012347.0	56145	ENSG00000255408
PCDHA2	PCDH-ALPHA2	5	1.0	140794852.0	141012347.0	56146	ENSG00000204969
PCDHA1	PCDH-ALPHA1	5	1.0	140786136.0	141012347.0	56147	ENSG00000204970
TEX15	CT42|SPGF25	8	-1.0	30831544.0	30913008.0	56154	ENSG00000133863
TEX14	CT113|SPGF23|SgK307	17	-1.0	58556678.0	58692055.0	56155	ENSG00000121101
TEX13B	TGC3B|TSGA5	X	-1.0	107980864.0	107982370.0	56156	ENSG00000170925
TEX13A	-	X	-1.0	105218929.0	105220694.0	56157	ENSG00000268629
TEX12	-	11	1.0	112167372.0	112172556.0	56158	ENSG00000150783
TEX11	MZIP4|SPGFX2|Spo22|TGC1|TSGA3|ZIP4|ZIP4H	X	-1.0	70528940.0	70908711.0	56159	ENSG00000120498
NSMCE3	HCA4|LICS|MAGEG1|MAGEL3|NDNL2|NSE3	15	-1.0	29264989.0	29269822.0	56160	ENSG00000185115
RNF17	Mmip-2|SPATA23|TDRD4	13	1.0	24764169.0	24879921.0	56163	ENSG00000132972
STK31	SGK396|TDRD8	7	1.0	23710203.0	23832513.0	56164	ENSG00000196335
TDRD1	CT41.1	10	1.0	114179270.0	114232666.0	56165	ENSG00000095627
MTCO1P1	-	21	1.0	7000000.0	10900000.0	56167	
MTND2P2	bA522L3.2	X	1.0	102786813.0	102788387.0	56168	ENSG00000229954
GSDMC	MLZE	8	-1.0	129748196.0	129786624.0	56169	ENSG00000147697
DNAH7	CILD50	2	-1.0	195737703.0	196068837.0	56171	ENSG00000118997
ANKH	ANK|CCAL2|CMDJ|CPPDD|HANK|MANK|SLC62A1	5	-1.0	14704800.0	14871778.0	56172	ENSG00000154122
MOSPD1	DJ473B4	X	-1.0	134887632.0	134915257.0	56180	ENSG00000101928
MTFR1L	FAM54B|HYST1888|MST116|MSTP116	1	1.0	25818640.0	25832942.0	56181	ENSG00000117640
LMOD3	NEM10	3	-1.0	69106065.0	69123032.0	56203	ENSG00000163380
ATOSA	FAM214A|KIAA1370	15	-1.0	52581317.0	52709817.0	56204	ENSG00000047346
SUSD2	BK65A6.2|W5C5	22	1.0	24181487.0	24189106.0	56241	ENSG00000099994
ZNF253	BMZF-1|BMZF1|ZNF411	19	1.0	19865882.0	19894674.0	56242	ENSG00000256771
KIAA1217	ETL4|SKT	10	1.0	23694746.0	24547848.0	56243	ENSG00000120549
BTNL2	BTL-II|BTN7|HSBLMHC1|SS2	6	-1.0	32393339.0	32407181.0	56244	ENSG00000204290
C21orf62	B37|C21orf120|CU062|PRED81	21	-1.0	32790673.0	32813743.0	56245	ENSG00000205929
MRAP	B27|C21orf61|FALP|FGD2|GCCD2|MRAP1	21	1.0	32291813.0	32314784.0	56246	ENSG00000170262
YLPM1	C14orf170|PPP1R169|ZAP113|ZAP3	14	1.0	74763316.0	74859435.0	56252	ENSG00000119596
CRTAM	CD355	11	1.0	122838500.0	122872643.0	56253	ENSG00000109943
RNF20	BRE1|BRE1A|hBRE1	9	1.0	101533853.0	101563344.0	56254	ENSG00000155827
TMX4	DJ971N18.2|PDIA14|TXNDC13	20	-1.0	7977346.0	8019805.0	56255	ENSG00000125827
SERTAD4	DJ667H12.2	1	1.0	210232796.0	210246631.0	56256	ENSG00000082497
MEPCE	BCDIN3	7	1.0	100428322.0	100434126.0	56257	ENSG00000146834
CTNNBL1	C20orf33|IMD99|NAP|P14L|PP8304|dJ633O20.1	20	1.0	37693955.0	37872129.0	56259	ENSG00000132792
C8orf44	-	8	1.0	66667615.0	66685564.0	56260	ENSG00000288596
GPCPD1	EDI3|GDE5|GDPD6|PREI4	20	-1.0	5544439.0	5611006.0	56261	ENSG00000125772
LRRC8A	AGM5|HsLRRC8A|LRRC8|SWELL1	9	1.0	128882133.0	128918039.0	56262	ENSG00000136802
CPXM1	CPX1|CPXM	20	-1.0	2794074.0	2800627.0	56265	ENSG00000088882
KYAT3	CCBL2|KAT3|KATIII	1	-1.0	88935773.0	88992953.0	56267	ENSG00000137944
IRGC	CINEMA|IFGGE|IRGC1|Iigp5|R30953_1	19	1.0	43716076.0	43720021.0	56269	ENSG00000124449
WDR45B	NEDSBAS|WDR45L|WIPI-3|WIPI3	17	-1.0	82614562.0	82648553.0	56270	ENSG00000141580
BEX4	BEXL1	X	1.0	103215108.0	103217246.0	56271	ENSG00000102409
DAD1P1	DAD1L|DADR	12	1.0	21100000.0	26300000.0	56286	
GKN1	AMP18|BRICD1|CA11|FOV|foveolin	2	1.0	68974573.0	68980980.0	56287	ENSG00000169605
PARD3	ASIP|Baz|PAR3|PAR3alpha|PARD-3|PARD3A|PPP1R118|SE2-5L16|SE2-5LT1|SE2-5T2	10	-1.0	34109560.0	34815325.0	56288	ENSG00000148498
IL36G	IL-1F9|IL-1H1|IL-1RP2|IL1E|IL1F9|IL1H1|IL1RP2	2	1.0	112973203.0	112985658.0	56300	ENSG00000136688
SLC7A10	ASC1|HASC-1|asc-1	19	-1.0	33208664.0	33225850.0	56301	ENSG00000130876
TRPV5	CAT2|ECAC1|OTRPC3	7	-1.0	142908101.0	142933746.0	56302	ENSG00000127412
ANKRD7	TSA806	7	1.0	118214669.0	118496171.0	56311	ENSG00000106013
METTL3	IME4|M6A|MT-A70|Spo8|hMETTL3	14	-1.0	21498133.0	21511342.0	56339	ENSG00000165819
PRMT8	HRMT1L3|HRMT1L4	12	1.0	3381349.0	3593973.0	56341	ENSG00000111218
PPAN	BXDC3|SSF|SSF-1|SSF1|SSF2	19	1.0	10106362.0	10112012.0	56342	ENSG00000130810
CABP5	CABP3	19	-1.0	48029383.0	48044079.0	56344	ENSG00000105507
LTB4R2	BLT2|BLTR2|JULF2|KPG_004|LTB4-R 2|LTB4-R2|NOP9	14	1.0	24305734.0	24312053.0	56413	ENSG00000213906
CTPS2	GATD5B	X	-1.0	16587999.0	16712936.0	56474	ENSG00000047230
RPRM	REPRIMO	2	-1.0	153477338.0	153478762.0	56475	ENSG00000177519
ABCB10P1	ABCB10P|ABCB10P2|M-ABC2|MABC2	15	1.0	20500000.0	25500000.0	56476	
CCL28	CCK1|MEC|SCYA28	5	-1.0	43376645.0	43412391.0	56477	ENSG00000151882
EIF4ENIF1	4E-T|Clast4	22	-1.0	31436977.0	31496108.0	56478	ENSG00000184708
KCNQ5	Kv7.5|MRD46	6	1.0	72621792.0	73198853.0	56479	ENSG00000185760
DNAJC12	HPANBH4|JDP1	10	-1.0	67796669.0	67838188.0	56521	ENSG00000108176
MMP26	-	11	1.0	4704784.0	4992431.0	56547	ENSG00000167346
CHST7	C6ST-2|GST-5	X	1.0	46573765.0	46598496.0	56548	ENSG00000147119
CYP26B1	CYP26A2|P450RAI-2|P450RAI2|RHFCA	2	-1.0	72129238.0	72147862.0	56603	ENSG00000003137
TUBB7P	TUBB4Q	4	-1.0	189982523.0	189984871.0	56604	ENSG00000251297
ERO1B	ERO1LB|Ero1beta	1	-1.0	236214681.0	236282019.0	56605	ENSG00000086619
SLC2A9	GLUT9|GLUTX|UAQTL2|URATv1	4	-1.0	9771153.0	10054936.0	56606	ENSG00000109667
DIABLO	DFNA64|SMAC	12	-1.0	122207663.0	122227456.0	56616	ENSG00000184047
INPP5E	CORS1|CPD4|JBTS1|MORMS|PPI5PIV|pharbin	9	-1.0	136428619.0	136439845.0	56623	ENSG00000148384
ASAH2	BCDase|HNAC1|LCDase|N-CDase|NCDase	10	-1.0	50182778.0	50279720.0	56624	ENSG00000188611
BCCIP	TOK-1|TOK1	10	1.0	125823546.0	125853695.0	56647	ENSG00000107949
EIF5A2	EIF-5A2|eIF5AII	3	-1.0	170888418.0	170908644.0	56648	ENSG00000163577
TMPRSS4	CAP2|CAPH2|MT-SP2|TMPRSS3	11	1.0	118077012.0	118121890.0	56649	ENSG00000137648
CLDND1	C3orf4|GENX-3745|Z38	3	-1.0	98497912.0	98523066.0	56650	ENSG00000080822
LINC00470	C18orf2	18	1.0	0.0	2900000.0	56651	
TWNK	ATXN8|C10orf2|IOSCA|MTDPS7|PEO|PEO1|PEOA3|PRLTS5|SANDO|SCA8|TWINL	10	1.0	100987367.0	100994403.0	56652	ENSG00000107815
NPDC1	CAB|CAB-|CAB-1|CAB1|NPDC-1	9	-1.0	137039463.0	137046179.0	56654	ENSG00000107281
POLE4	YHHQ1|p12	2	1.0	74958643.0	74970128.0	56655	ENSG00000115350
OR2S2	OR37A|OST715	9	-1.0	35957108.0	35958154.0	56656	ENSG00000278889
TRIM39	RNF23|TFP|TRIM39B	6	1.0	30326479.0	30343729.0	56658	ENSG00000204599
KCNK13	K2p13.1|THIK-1|THIK1	14	1.0	90061994.0	90185853.0	56659	ENSG00000152315
KCNK12	K2p12.1|THIK-2|THIK2	2	-1.0	47509290.0	47570985.0	56660	ENSG00000184261
VTRNA1-3	HVG3|VAULTRC3|VR3|hvg-3	5	1.0	140726158.0	140726246.0	56662	ENSG00000202515
VTRNA1-2	HVG2|VAULTRC2|VR2|hvg-2	5	1.0	140718925.0	140719013.0	56663	ENSG00000202111
VTRNA1-1	HVG1|VAULTRC1|VR1|hvg-1|vRNA	5	1.0	140711275.0	140711373.0	56664	ENSG00000199990
PANX2	PX2|hPANX2	22	1.0	50170731.0	50180295.0	56666	ENSG00000073150
MUC13	DRCC1|MUC-13	3	-1.0	124905442.0	124953819.0	56667	ENSG00000173702
SUCNR1	GPR91	3	1.0	151873643.0	151884619.0	56670	ENSG00000198829
AKIP1	BCA3|C11orf17	11	1.0	8911139.0	8920084.0	56672	ENSG00000166452
C11orf16	-	11	-1.0	8920076.0	8933006.0	56673	ENSG00000176029
TMEM9B	C11orf15	11	-1.0	8947202.0	8965011.0	56674	ENSG00000175348
NRIP3	C11orf14|NY-SAR-105	11	-1.0	8965682.0	9005288.0	56675	ENSG00000175352
ASCL3	HASH3|SGN1|bHLHa42	11	-1.0	8937578.0	8943016.0	56676	ENSG00000176009
FABP3P2	FABP3-ps|FABP3P	13	1.0	39500000.0	44600000.0	56677	
SAR1A	SAR1|SARA1|Sara|masra2	10	-1.0	70147289.0	70170523.0	56681	ENSG00000079332
CFAP298	C21orf48|C21orf59|CILD26|DNAAF16|FBB18|Kur	21	-1.0	32592079.0	32612603.0	56683	ENSG00000159079
JPH1	CMT2K|JP-1|JP1	8	-1.0	74234700.0	74321540.0	56704	ENSG00000104369
RETN	ADSF|FIZZ3|RENT|RETN1|RSTN|XCP1	19	1.0	7669049.0	7670455.0	56729	ENSG00000104918
SLC2A4RG	GEF|HDBP-1|HDBP1|Si-1-2|Si-1-2-19	20	1.0	63739776.0	63744050.0	56731	ENSG00000125520
BARHL1	-	9	1.0	132582606.0	132590252.0	56751	ENSG00000125492
FMN2	-	1	1.0	240014348.0	240475187.0	56776	ENSG00000155816
HDLCQ14	HDLD3|HYALP|HYLAP	11	1.0	114600000.0	121300000.0	56801	
ZC3HAV1	ARTD13|FLB6421|PARP13|ZAP|ZC3H2|ZC3HDC2	7	-1.0	139043515.0	139132122.0	56829	ENSG00000105939
IFNK	IFNT1|INFE1	9	1.0	27524290.0	27526498.0	56832	ENSG00000147896
SLAMF8	BLAME|CD353|SBBI42	1	1.0	159826811.0	159837492.0	56833	ENSG00000158714
GPR137	C11orf4|GPR137A|TM7SF1L1	11	1.0	64270062.0	64289494.0	56834	ENSG00000173264
SPHK2	SK 2|SK-2|SPK 2|SPK-2	19	1.0	48619291.0	48630717.0	56848	ENSG00000063176
TCEAL7	WEX5	X	1.0	103330229.0	103332326.0	56849	ENSG00000182916
GRIPAP1	GRASP-1	X	-1.0	48973720.0	49002265.0	56850	ENSG00000068400
EMC7	C11orf3|C15orf24|HT022|ORF1-FL1	15	-1.0	34084017.0	34101862.0	56851	ENSG00000134153
RAD18	RNF73	3	-1.0	8775402.0	8963773.0	56852	ENSG00000070950
CELF4	BRUNOL4|CELF-4	18	-1.0	37243040.0	37565827.0	56853	ENSG00000101489
CDC42SE1	SCIP1|SPEC1	1	-1.0	151050971.0	151070325.0	56882	ENSG00000197622
FSTL5	-	4	-1.0	161383897.0	162164004.0	56884	ENSG00000168843
UGGT1	HUGT1|UGCGL1|UGT1	2	1.0	128091200.0	128195677.0	56886	ENSG00000136731
KCMF1	DEBT91|FIGC|PCMF|ZZZ1	2	1.0	84971093.0	85059472.0	56888	ENSG00000176407
TM9SF3	EP70-P-iso|SMBP	10	-1.0	96518110.0	96587452.0	56889	ENSG00000077147
MDM1	-	12	-1.0	68272443.0	68332381.0	56890	ENSG00000111554
LGALS14	CLC2|PPL13	19	1.0	39704481.0	39709444.0	56891	ENSG00000006659
TCIM	C8orf4|TC-1|TC1	8	1.0	40153482.0	40155310.0	56892	ENSG00000176907
UBQLN4	A1U|A1Up|C1orf6|CIP75|UBIN	1	-1.0	156035299.0	156053798.0	56893	ENSG00000160803
