Approved symbol	Approved name	Previous symbols	Alias symbols	RefSeq IDs	NCBI Gene ID	NCBI Gene ID(supplied by NCBI)	RefSeq(supplied by NCBI)
CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3			NM_006539	10368	10368	NM_006539
CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4		MGC11138, MGC24983	NM_014405	27092	27092	NM_014405
CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5			NM_014404, NM_145811	27091	27091	NM_001371476
CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6				59285	59285	NM_031897
CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7				59284	59284	NM_001384801
CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8				59283	59283	NM_031895
CACNL1A1	symbol withdrawn, see [HGNC:1390](/data/gene-symbol-report/#!/hgnc_id/HGNC:1390)						
CACNL1A2	symbol withdrawn, see [HGNC:1391](/data/gene-symbol-report/#!/hgnc_id/HGNC:1391)						
CACNL1A3	symbol withdrawn, see [HGNC:1397](/data/gene-symbol-report/#!/hgnc_id/HGNC:1397)						
CACNL1A4	symbol withdrawn, see [HGNC:1388](/data/gene-symbol-report/#!/hgnc_id/HGNC:1388)						
CACNL1A5	symbol withdrawn, see [HGNC:1389](/data/gene-symbol-report/#!/hgnc_id/HGNC:1389)						
CACNL1A6	symbol withdrawn, see [HGNC:1392](/data/gene-symbol-report/#!/hgnc_id/HGNC:1392)						
CACNL2A	symbol withdrawn, see [HGNC:1399](/data/gene-symbol-report/#!/hgnc_id/HGNC:1399)						
CACNLB1	symbol withdrawn, see [HGNC:1401](/data/gene-symbol-report/#!/hgnc_id/HGNC:1401)						
CACNLB2	symbol withdrawn, see [HGNC:1402](/data/gene-symbol-report/#!/hgnc_id/HGNC:1402)						
CACNLB3	symbol withdrawn, see [HGNC:1403](/data/gene-symbol-report/#!/hgnc_id/HGNC:1403)						
CACP	symbol withdrawn, see [HGNC:9364](/data/gene-symbol-report/#!/hgnc_id/HGNC:9364)						
CACT	symbol withdrawn, see [HGNC:1421](/data/gene-symbol-report/#!/hgnc_id/HGNC:1421)						
CACTIN	cactin, spliceosome C complex subunit	C19orf29	NY-REN-24, fSAPc		58509	58509	NM_001080543
CACTIN-AS1	CACTIN antisense RNA 1	C19orf29OS, C19orf29-AS1		NR_038865	404665	404665	NR_038865
CACTP	symbol withdrawn, see [HGNC:1422](/data/gene-symbol-report/#!/hgnc_id/HGNC:1422)						
CACUL1	CDK2 associated cullin domain 1	C10orf46	FLJ40409, MGC33215, CAC1	NM_153810	143384	143384	NM_153810
CACY	symbol withdrawn, see [HGNC:10496](/data/gene-symbol-report/#!/hgnc_id/HGNC:10496)						
CACYBP	calcyclin binding protein		SIP, S100A6BP	NM_014412	27101	27101	NM_001007214
CACYBPP1	calcyclin binding protein pseudogene 1			NG_025452	100420043	100420043	NG_025452
CACYBPP2	calcyclin binding protein pseudogene 2			NG_021541	644877	644877	NG_021541
CACYBPP3	calcyclin binding protein pseudogene 3					106480809	NG_044234
CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase		GATD4		790	790	NM_001306079
CADASIL	symbol withdrawn, see [HGNC:7883](/data/gene-symbol-report/#!/hgnc_id/HGNC:7883)						
CADM1	cell adhesion molecule 1	TSLC1, IGSF4	NECL2, ST17, BL2, SYNCAM, IGSF4A, Necl-2, SYNCAM1, RA175	NM_014333	23705	23705	NM_001098517
CADM1-AS1	CADM1 antisense RNA 1			NR_135102	105369507	105369507	NR_135102
CADM2	cell adhesion molecule 2	IGSF4D	NECL3, Necl-3, SynCAM2, SynCAM-2	NM_153184	253559	253559	NM_001167674
CADM2-AS1	CADM2 antisense RNA 1					100874038	
CADM2-AS2	CADM2 antisense RNA 2					100874037	NR_046752
CADM3	cell adhesion molecule 3	IGSF4B	BIgR, FLJ10698, TSLL1, NECL1, SynCAM3, Necl-1	NM_021189	57863	57863	NM_001127173
CADM3-AS1	CADM3 antisense RNA 1		CTA-134P22.2		100131825	100131825	NR_037870
CADM4	cell adhesion molecule 4	IGSF4C	TSLL2, Necl-4, SynCAM4	NM_145296	199731	199731	NM_145296
CADPS	calcium dependent secretion activator		CAPS, KIAA1121, CAPS1, UNC-31, CADPS1	NM_003716, NM_183393, NM_183394	8618	8618	NM_003716
CADPS2	calcium dependent secretion activator 2		CAPS2	NM_017954	93664	93664	NM_001009571
CAE1	symbol withdrawn, see [HGNC:4281](/data/gene-symbol-report/#!/hgnc_id/HGNC:4281)						
CAE2	symbol withdrawn, see [HGNC:2659](/data/gene-symbol-report/#!/hgnc_id/HGNC:2659)						
CAGA	symbol withdrawn, see [HGNC:10498](/data/gene-symbol-report/#!/hgnc_id/HGNC:10498)						
CAGB	symbol withdrawn, see [HGNC:10499](/data/gene-symbol-report/#!/hgnc_id/HGNC:10499)						
CAGE1	cancer antigen 1	CTAG3	bA69L16.7, CT95	NM_175745	285782	285782	NM_001170692
CAHM	colon adenocarcinoma hypermethylated		LINC00468	NR_037593	100526820	100526820	NR_037593
CAK	symbol withdrawn, see [HGNC:2730](/data/gene-symbol-report/#!/hgnc_id/HGNC:2730)						
CAL1H	symbol withdrawn, see [HGNC:537](/data/gene-symbol-report/#!/hgnc_id/HGNC:537)						
CAL1L	symbol withdrawn, see [HGNC:10487](/data/gene-symbol-report/#!/hgnc_id/HGNC:10487)						
CALB1	calbindin 1	CALB		NM_004929	793	793	NM_001366795
CALB2	calbindin 2		CAL2	NM_001740	794	794	NM_001740
CALCA	calcitonin related polypeptide alpha	CALC1	CGRP, CGRP-alpha	NM_001741	796	796	NM_001033952
CALCB	calcitonin related polypeptide beta	CALC2	FLJ30166, CGRP-II	NM_000728	797	797	NM_000728
CALCOCO1	calcium binding and coiled-coil domain 1		KIAA1536, calphoglin, Cocoa	NM_020898	57658	57658	NM_001143682
CALCOCO2	calcium binding and coiled-coil domain 2		MGC17318, NDP52	NM_005831	10241	10241	NM_001261390
CALCP	calcitonin pseudogene		CALC3	NG_001088	798	798	NG_001088
CALCR	calcitonin receptor		CTR, CT-R	NM_001742	799	799	NM_001164737
CALCRL	calcitonin receptor like receptor		CGRPR, CRLR	NM_005795	10203	10203	NM_001271751
CALCRL-AS1	CALCRL and TFPI antisense RNA 1				105373786	105373786	XR_001739821
CALD1	caldesmon 1		CDM, H-CAD, L-CAD, h-CD	NM_033138	800	800	NM_004342
CALHM1	calcium homeostasis modulator 1	FAM26C		NM_001001412	255022	255022	NM_001001412
CALHM2	calcium homeostasis modulator family member 2	FAM26B		NM_015916	51063	51063	NM_015916
CALHM3	calcium homeostasis modulator 3	FAM26A	bA225H22.7	NM_182494	119395	119395	NM_001129742
CALHM4	calcium homeostasis modulator family member 4	C6orf78, FAM26D	FLJ32239	NM_153036	221301	221301	NM_001256887
CALHM5	calcium homeostasis modulator family member 5	C6orf188, FAM26E	dJ493F7.3, MGC45451	NM_153711	254228	254228	NM_153711
CALHM6	calcium homeostasis modulator family member 6	C6orf187, FAM26F	RP1-93H18.5, OTTHUMP00000017061, OTTHUMP00000017062, dJ93H18.5, INAM	NM_001010919	441168	441168	NM_001010919
CALHM6-AS1	CALHM6 antisense RNA 1		RP1-93H18.6			116435295	NR_174951
CALM1	calmodulin 1	CALML2	CAMI, PHKD, DD132, PHKD1		801	801	NM_001363669
CALM1P1	calmodulin 1 pseudogene 1	CALML1		NG_001089	802	802	NG_001089
CALM1P2	calmodulin 1 pseudogene 2		TCAG_1643085	NG_001090	804	804	NG_001090
CALM2	calmodulin 2		PHKD, PHKD2, CAMII	NM_001743	805	805	NM_001305624
CALM2P1	calmodulin 2 pseudogene 1				100128390	100128390	NG_002716
CALM2P2	calmodulin 2 pseudogene 2				806	806	NG_001091
CALM2P3	calmodulin 2 pseudogene 3				807	807	NG_004858
CALM2P4	calmodulin 2 pseudogene 4				643193	643193	NG_011335
CALM3	calmodulin 3		PHKD, PHKD3		808	808	NM_001329921
CALML1	symbol withdrawn, see [HGNC:1443](/data/gene-symbol-report/#!/hgnc_id/HGNC:1443)	CALML1					
CALML2	symbol withdrawn, see [HGNC:1442](/data/gene-symbol-report/#!/hgnc_id/HGNC:1442)						
CALML3	calmodulin like 3		CLP	NM_005185	810	810	NM_005185
CALML3-AS1	CALML3 antisense RNA 1				100132159	100132159	NR_120496
CALML4	calmodulin like 4		MGC4809, NY-BR-20	NM_033429	91860	91860	NM_001031733
CALML5	calmodulin like 5		CLSP	NM_017422	51806	51806	NM_017422
CALML6	calmodulin like 6		CAGLP	NM_138705	163688	163688	NM_001330313
CALN1	calneuron 1		CABP8	NM_031468	83698	83698	NM_001017440
CALNA	symbol withdrawn, see [HGNC:9314](/data/gene-symbol-report/#!/hgnc_id/HGNC:9314)						
CALNB	symbol withdrawn, see [HGNC:9315](/data/gene-symbol-report/#!/hgnc_id/HGNC:9315)						
CALR	calreticulin		RO, SSA, cC1qR, CRT, FLJ26680, CALR1	NM_004343	811	811	NM_004343
CALR3	calreticulin 3		CRT2, FLJ25355, MGC26577, CT93	NM_145046	125972	125972	NM_145046
CALR4P	calreticulin 4, pseudogene				441884	441884	NR_161259
CALS	symbol withdrawn, see [HGNC:1382](/data/gene-symbol-report/#!/hgnc_id/HGNC:1382)						
CALT	symbol withdrawn, see [HGNC:1867](/data/gene-symbol-report/#!/hgnc_id/HGNC:1867)						
CALU	calumenin			NM_001219	813	813	NM_001130674
CALY	calcyon neuron specific vesicular protein	DRD1IP	CALCYON, NSG3	NM_015722	50632	50632	NM_001321617
CAMK1	calcium/calmodulin dependent protein kinase I		CaMKI, CaMKI-alpha	NM_003656	8536	8536	NM_003656
CAMK1D	calcium/calmodulin dependent protein kinase ID		CKLiK	NM_020397	57118	57118	NM_001351032
CAMK1G	calcium/calmodulin dependent protein kinase IG		VWS1, CLICKIII, dJ272L16.1	NM_020439	57172	57172	NM_020439
CAMK2A	calcium/calmodulin dependent protein kinase II alpha	CAMKA	KIAA0968, CaMKIINalpha, CaMKIIα	NM_015981	815	815	NM_001363989
CAMK2B	calcium/calmodulin dependent protein kinase II beta	CAMKB	CAM2, CAMK2, CaMKIIβ	NM_172084	816	816	NM_001220
CAMK2D	calcium/calmodulin dependent protein kinase II delta	CAMKD			817	817	NM_001221
CAMK2G	calcium/calmodulin dependent protein kinase II gamma	CAMKG		NM_172169	818	818	NM_001204492
CAMK2G-AS1	CAMK2G antisense RNA 1					123706515	
CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1		CaMKIINalpha	NM_018584	55450	55450	NM_018584
CAMK2N2	calcium/calmodulin dependent protein kinase II inhibitor 2		CaM-KIIN	NM_033259	94032	94032	NM_033259
CAMK4	calcium/calmodulin dependent protein kinase IV		CaMK-GR, CaMKIV	NM_001744	814	814	NM_001323374
CAMKA	symbol withdrawn, see [HGNC:1460](/data/gene-symbol-report/#!/hgnc_id/HGNC:1460)						
CAMKB	symbol withdrawn, see [HGNC:1461](/data/gene-symbol-report/#!/hgnc_id/HGNC:1461)						
CAMKD	symbol withdrawn, see [HGNC:1462](/data/gene-symbol-report/#!/hgnc_id/HGNC:1462)						
CAMKG	symbol withdrawn, see [HGNC:1463](/data/gene-symbol-report/#!/hgnc_id/HGNC:1463)						
CAMKK1	calcium/calmodulin dependent protein kinase kinase 1		DKFZp761M0423, CAMKKA, MGC34095	NM_032294, NM_172206, NM_172207	84254	84254	NM_032294
CAMKK2	calcium/calmodulin dependent protein kinase kinase 2		CAMKK, KIAA0787, CAMKKB, MGC15254	NM_172226	10645	10645	NM_001270485
CAMKMT	calmodulin-lysine N-methyltransferase	C2orf34	CLNMT	NM_024766	79823	79823	NM_024766
CAMKV	CaM kinase like vesicle associated		MGC8407, VACAMKL	NM_024046	79012	79012	NM_001320147
CAMLG	calcium modulating ligand		CAML, GET2	NM_001745	819	819	NM_001745
CAMP	cathelicidin antimicrobial peptide		CAP18, FALL39, FALL-39, LL37	NM_004345	820	820	NM_004345
CAMSAP1	calmodulin regulated spectrin associated protein 1		FLJ31228, DKFZp434F195	NM_015447	157922	157922	NM_001411031
CAMSAP1-DT	CAMSAP1 divergent transcript				107987141	107987141	XR_001746979
CAMSAP2	calmodulin regulated spectrin associated protein family member 2	CAMSAP1L1	KIAA1078	NM_203459	23271	23271	NM_001297707
CAMSAP3	calmodulin regulated spectrin associated protein family member 3	KIAA1543	Nezha, PPP1R80	NM_001080429	57662	57662	NM_001080429
CAMTA1	calmodulin binding transcription activator 1		KIAA0833	NM_015215	23261	23261	NM_001195563
CAMTA1-AS1	CAMTA1 antisense RNA 1				101928836	101928836	XR_946925
CAMTA1-AS2	CAMTA1 antisense RNA 2			NR_146199	102725193	102725193	NR_146199
CAMTA1-AS3	CAMTA1 antisense RNA 3		AL512330.1			127138864	NR_182292
CAMTA1-DT	CAMTA1 divergent transcript		lncCAMTA1	NR_149049	110841581	110841581	NR_149049
CAMTA1-IT1	CAMTA1 intronic transcript 1					100874340	
CAMTA2	calmodulin binding transcription activator 2		KIAA0909	NM_015099	23125	23125	NM_001171166
CAMTA2-AS1	CAMTA2 antisense RNA 1				101927979	101927979	XR_001752769
CAND1	cullin associated and neddylation dissociated 1		TIP120A, DKFZp434M1414, KIAA0829, TIP120	NM_018448	55832	55832	NM_001329674
CAND2	cullin associated and neddylation dissociated 2 (putative)		TIP120B, KIAA0667, Tp120b	NM_001162499	23066	23066	NM_001162499
CANDN1	candidiasis, nail 1 (with ICAM1 deficiency)		FCNC, CANDF3				
CANT1	calcium activated nucleotidase 1		SHAPY, SCAN-1	NM_138793	124583	124583	NM_001159772
CANX	calnexin		CNX, IP90, P90	NM_001024649	821	821	NM_001024649
CAP1	cyclase associated actin cytoskeleton regulatory protein 1		CAP	NM_006367	10487	10487	NM_001105530
CAP1P1	CAP1 pseudogene 1				401076	401076	NG_027734
CAP1P2	CAP1 pseudogene 2			NG_022144	399748	399748	NG_022144
CAP2	cyclase associated actin cytoskeleton regulatory protein 2				10486	10486	NM_001363533
CAP2P1	cyclase associated actin cytoskeleton regulatory protein 2 pseudogene 1			NG_002772	353163	353163	NG_002772
CAPG	capping actin protein, gelsolin like	AFCP	MCP	NM_001747	822	822	NM_001256139
CAPL	symbol withdrawn, see [HGNC:10494](/data/gene-symbol-report/#!/hgnc_id/HGNC:10494)						
CAPN1	calpain 1		muCANP, muCL, CANP, CANPL1		823	823	NM_001198868
CAPN1-AS1	CAPN1 antisense RNA 1			NR_145677	728975	728975	NR_145677
CAPN2	calpain 2		mCANP, CANPml, CANPL2	NM_001748	824	824	NM_001146068
CAPN3	calpain 3	LGMD2, LGMD2A	CANP3, p94, nCL-1		825	825	NM_000070
CAPN5	calpain 5	VRNI	nCL-3, HTRA3, ADNIV	NM_004055	726	726	NM_004055
CAPN6	calpain 6		CAPNX, CalpM, CANPX		827	827	NM_014289
CAPN7	calpain 7		PalBH	NM_014296	23473	23473	NM_001376086
CAPN8	calpain 8		nCL-2	NM_001143962	388743	388743	NM_001143962
CAPN9	calpain 9		nCL-4, GC36	NM_006615	10753	10753	NM_001319676
CAPN10	calpain 10			NM_023083	11132	11132	NM_023083
CAPN10-DT	CAPN10 divergent transcript	CAPN10-AS1	locus959	NR_103792	101752400	101752400	NR_103792
CAPN11	calpain 11				11131	11131	NM_007058
CAPN12	calpain 12				147968	147968	NM_144691
CAPN13	calpain 13		FLJ23523	NM_144575	92291	92291	NM_144575
CAPN14	calpain 14			NM_001145122	440854	440854	NM_001145122
CAPN15	calpain 15	SOLH		NM_005632	6650	6650	NM_005632
CAPNS1	calpain small subunit 1	CAPN4	CANP, CANPS, 30K, CDPS		826	826	NM_001003962
CAPNS1P1	calpain small subunit 1 pseudogene 1			NG_022791	391053	391053	NG_022791
CAPNS2	calpain small subunit 2		MGC12536, MGC14804	NM_032330	84290	84290	NM_032330
CAPRIN1	cell cycle associated protein 1	M11S1, GPIAP1	caprin-1, RNG105	NM_005898	4076	4076	NM_005898
CAPRIN2	caprin family member 2	C1QDC1	EEG1, FLJ22569, FLJ11391, caprin-2, RNG140	NM_023925	65981	65981	NM_001002259
CAPS	calcyphosine		CAPS1, MGC126562	NM_004058	828	828	NM_004058
CAPS2	calcyphosine 2				84698	84698	NM_001286547
CAPS2-AS1	CAPS2 antisense RNA 1				107983975	107983975	XR_001749212
CAPSL	calcyphosine like		MGC26610	NM_144647	133690	133690	NM_001042625
CAPSL-DT	CAPSL divergent transcript		lnc-IL7R-1	NR_104630	100506406	100506406	NR_104630
CAPZA1	capping actin protein of muscle Z-line subunit alpha 1		CAPPA1	NM_006135	829	829	NM_006135
CAPZA1P1	CAPZA1 pseudogene 1	CAPZA1P		NG_001277	53338	53338	NG_001277
CAPZA1P2	CAPZA1 pseudogene 2			NG_023623	100422294	100422294	NG_051314
CAPZA1P3	CAPZA1 pseudogene 3			NG_022610	645938	645938	NG_022610
CAPZA1P4	CAPZA1 pseudogene 4			NG_022548	100130704	100130704	NG_022548
CAPZA1P5	CAPZA1 pseudogene 5			NG_026521	100422324	100422324	NG_026521
CAPZA2	capping actin protein of muscle Z-line subunit alpha 2		CAPZ, CAPPA2	NM_006136	830	830	NM_006136
CAPZA3	capping actin protein of muscle Z-line subunit alpha 3		Gsg3, CAPPA3	NM_033328	93661	93661	NM_033328
CAPZB	capping actin protein of muscle Z-line subunit beta				832	832	NM_001206540
CAPZBP1	CAPZB pseudogene 1			NG_023294	644265	644265	NG_023294
CARD6	caspase recruitment domain family member 6		CINCIN1		84674	84674	NM_032587
CARD8	caspase recruitment domain family member 8		TUCAN, KIAA0955, CARDINAL, NDPP, Dakar	NM_014959	22900	22900	NM_001184900
CARD8-AS1	CARD8 antisense RNA 1		LOC100505812, AC008392.1	NR_040599	100505812	100505812	NR_040599
CARD9	caspase recruitment domain family member 9			NM_052813	64170	64170	NM_052813
CARD10	caspase recruitment domain family member 10		CARMA3, BIMP1	NM_014550	29775	29775	NM_014550
CARD11	caspase recruitment domain family member 11		CARMA1, BIMP3	NM_032415	84433	84433	NM_001324281
CARD11-AS1	CARD11 antisense RNA 1				101927256	101927256	XR_926993
CARD14	caspase recruitment domain family member 14	PSORS2	CARMA2, BIMP2		79092	79092	NM_001257970
CARD16	caspase recruitment domain family member 16		COP1, COP, PSEUDO-ICE, LLID-114769		114769	114769	NM_001394580
CARD17P	caspase recruitment domain family member 17, pseudogene	CARD17	INCA	NR_172520	440068	440068	NR_172520
CARD18	caspase recruitment domain family member 18		UNQ5804, ICEBERG, pseudo-ICE	NM_021571	59082	59082	NM_021571
CARD19	caspase recruitment domain family member 19	C9orf89	MGC11115, bA370F5.1, BinCARD	NM_032310	84270	84270	NM_001318010
CARF	calcium responsive transcription factor	ALS2CR8	FLJ21579, NYD-SP24	NM_001104586	79800	79800	NM_001104586
CARHSP1	calcium regulated heat stable protein 1		CRHSP-24, CSDC1	NM_014316	23589	23589	NM_001042476
CARHSP1-DT	CARHSP1 divergent transcript					119545623	NR_186721
CARM1	coactivator associated arginine methyltransferase 1		PRMT4	NM_199141	10498	10498	NM_001370088
CARM1P1	coactivator associated arginine methyltransferase 1 pseudogene 1	CARM1L		NG_009935	100130873	100130873	NG_009935
CARMAL	coronary artery disease region linked MFGE8 regulatory lncRNA		RP11-326A19.4		102724566	102724566	NR_183880
CARMIL1	capping protein regulator and myosin 1 linker 1	LRRC16, LRRC16A	dJ501N12.1, FLJ20048, CARMIL	NM_017640	55604	55604	NM_001173977
CARMIL2	capping protein regulator and myosin 1 linker 2	RLTPR	LRRC16C	NM_001013838	146206	146206	NM_001013838
CARMIL2P1	CARMIL2 pseudogene 1					127460874	NG_148536
CARMIL3	capping protein regulator and myosin 1 linker 3	C14orf121, LRRC16B	BC008134, crml-1	NM_138360	90668	90668	NM_138360
CARMN	cardiac mesoderm enhancer-associated non-coding RNA	MIR143HG	CARMEN	NR_105059	728264	728264	NR_105059
CARNMT1	carnosine N-methyltransferase 1	C9orf41	FLJ25795	NM_152420	138199	138199	NM_001320497
CARNMT1-AS1	CARNMT1 antisense RNA 1	C9orf41-AS1		NR_121183	101927380	101927380	NR_121183
CARNS1	carnosine synthase 1	ATPGD1	KIAA1394	NM_020811	57571	57571	NM_001166222
CARS1	cysteinyl-tRNA synthetase 1	CARS		NM_001751	833	833	NM_001014437
CARS1-AS1	CARS1 antisense RNA 1	CARS-AS1				100852407	NR_046580
CARS1P1	cysteinyl-tRNA synthetase 1 pseudogene 1	CARSP1			100420042	100420042	NG_025389
CARS1P2	cysteinyl-tRNA synthetase 1 pseudogene 2	CARSP2				106481707	NG_043273
CARS2	cysteinyl-tRNA synthetase 2, mitochondrial		FLJ12118	NM_024537	79587	79587	NM_001352252
CARTPT	CART prepropeptide		CART	NM_004291	9607	9607	NM_004291
CASA	symbol withdrawn, see [HGNC:2445](/data/gene-symbol-report/#!/hgnc_id/HGNC:2445)						
CASB	symbol withdrawn, see [HGNC:2447](/data/gene-symbol-report/#!/hgnc_id/HGNC:2447)						
CASC2	cancer susceptibility 2	C10orf5			255082	255082	NR_026939
CASC3	CASC3 exon junction complex subunit		MLN51, BTZ	NM_007359	22794	22794	NM_007359
CASC6	cancer susceptibility 6			NR_104154	101929083	101929083	NR_104154
CASC7	symbol withdrawn, see [HGNC:3263](/data/gene-symbol-report/#!/hgnc_id/HGNC:3263)		LINC00980				
CASC8	cancer susceptibility 8		LINC00860, CARLo-1	NR_024393	727677	727677	NR_024393
CASC9	cancer susceptibility 9		LINC00981, ESCCAL-1, linc-JPH1	NR_103848	101805492	101805492	NR_103848
CASC11	cancer susceptibility 11		TCONS_00014535, LINC00990, CARLo-7, ENST00000518376, MYMLR	NR_117101	100270680	100270680	NR_117101
CASC15	cancer susceptibility 15	LINC00340	lnc-SOX4-1	NR_015410	401237	401237	NR_015410
CASC16	cancer susceptibility 16	LINC00918	LOC643714	NR_033920	643714	643714	NR_033920
CASC17	cancer susceptibility 17		LINC00600			101928165	NR_104152
CASC18	cancer susceptibility 18		LOC101929110		101929110	101929110	NR_110108
CASC19	cancer susceptibility 19	LINC01245	CARLo-6		103021165	103021165	NR_120364
CASC20	cancer susceptibility 20				101929244	101929244	NR_109953
CASC21	cancer susceptibility 21	LINC01244	CARLo-2		103021164	103021164	NR_117099
CASC22	cancer susceptibility 22	LINC01373	TCONS_00024290, LincRNA-ENST00000515084	NR_135281	283854	283854	NR_135281
CASC23	cancer susceptibility 23		LINC01464		103581031	103581031	NR_125366
CASD1	CAS1 domain containing 1		FLJ21213, FLJ21879, C7orf12	NM_022900	64921	64921	NM_001363426
CASK	calcium/calmodulin dependent serine protein kinase	TNRC8	LIN2, CAGH39, FGS4	NM_003688	8573	8573	NM_001126054
CASK-AS1	CASK antisense RNA 1					100873928	
CASKIN1	CASK interacting protein 1		KIAA1306, ANKS5A	NM_020764	57524	57524	NM_020764
CASKIN2	CASK interacting protein 2		KIAA1139, FLJ21609, ANKS5B	NM_020753	57513	57513	NM_001142643
CASKP1	calcium/calmodulin dependent serine protein kinase pseudogene 1	CASKP		NG_002805.5	10029	10029	NG_002805
CASP1	caspase 1	IL1BC	ICE	NM_033292	834	834	NM_001223
CASP1P1	caspase 1 pseudogene 1				100874457	100874457	NG_032566
CASP1P2	caspase 1 pseudogene 2			NR_131905	440067	440067	NR_131905
CASP1P3	caspase 1 pseudogene 3			NG_024409	100422634	100422634	NG_024409
CASP2	caspase 2	NEDD2	ICH1, PPP1R57, MGC2181	NM_032982	835	835	NM_001224
CASP3	caspase 3		CPP32, CPP32B, Yama, apopain	NM_004346	836	836	NM_001354777
CASP3P1	caspase 3 pseudogene 1			NG_022722	100131616	100131616	NG_022722
CASP4	caspase 4		ICE(rel)II, ICH-2, TX	NM_001225	837	837	NM_001225
CASP4LP	caspase 4 like, pseudogene	CASP17P		NR_034078	643733	643733	NR_034078
CASP5	caspase 5		ICE(rel)III	NM_004347	838	838	NM_001136109
CASP6	caspase 6		MCH2, caspase-6, CSP-6	NM_001226	839	839	NM_001226
CASP7	caspase 7		MCH3, CMH-1, ICE-LAP3	NM_033338	840	840	NM_001227
CASP8	caspase 8		MCH5, MACH, FLICE, Casp-8	NM_001228	841	841	NM_001080124
CASP8AP2	caspase 8 associated protein 2		FLASH, CED-4, RIP25, FLJ11208, KIAA1315	NM_001137667	9994	9994	NM_001137667
CASP9	caspase 9		MCH6, ICE-LAP6, APAF-3, PPP1R56	NM_032996	842	842	NM_001229
CASP10	caspase 10		MCH4, FLICE-2	NM_032977	843	843	NM_001206524
CASP12	caspase 12 (gene/pseudogene)	CASP12P1		NM_001191016	100506742	100506742	NM_001191016
CASP14	caspase 14		MICE, MGC119078, MGC119079, caspase-14	NM_012114	23581	23581	NM_012114
CASP16P	caspase 16, pseudogene	CASP16		NR_132322	197350	197350	NR_132322
CASQ1	calsequestrin 1	CASQ	PDIB1, CSQ1	NM_001231	844	844	NM_001231
CASQ2	calsequestrin 2		PDIB2	NM_001232	845	845	NM_001232
CASR	calcium sensing receptor	HHC, HHC1	FHH, NSHPT, GPRC2A	NM_000388	846	846	NM_000388
CASS4	Cas scaffold protein family member 4	C20orf32	HEFL, HEPL	NM_020356	57091	57091	NM_001164114
CAST	calpastatin			NM_173062	831	831	NM_001042440
CASTOR1	cytosolic arginine sensor for mTORC1 subunit 1	GATSL3		NM_001037666	652968	652968	NM_001037666
CASTOR2	cytosolic arginine sensor for mTORC1 subunit 2	GATSL1, GATSL2		NM_001145064	729438	729438	NM_001145064
CASTOR3P	CASTOR family member 3, pseudogene	GATS, CASTOR3	DKFZp686B07267, STAG3OS	NR_028039	352954	352954	NR_028038
CASZ1	castor zinc finger 1		FLJ20321, ZNF693, castor, cst, SRG	NM_017766	54897	54897	NM_001079843
CAT	catalase			NM_001752	847	847	NM_001752
CATHL1L	cathelicidin 1 (cyclic dodecapeptide, bactenin 1)-like						
CATHLP	cathelicidin pseudogene						
CATIP	ciliogenesis associated TTC17 interacting protein	C2orf62	MGC50811	NM_198559	375307	375307	NM_001320865
CATIP-AS1	CATIP antisense RNA 1				101928513	101928513	NR_110573
CATIP-AS2	CATIP antisense RNA 2					103689911	NR_125777
CATR1	CATR tumorigenicity conversion 1				856	856	
CATSPER1	cation channel sperm associated 1		CATSPER	NM_053054	117144	117144	NM_053054
CATSPER2	cation channel sperm associated 2			NM_172095	117155	117155	NM_001282309
CATSPER2P1	CATSPER2 pseudogene 1		CATSPER2B	NR_002318	440278	440278	NR_002318
CATSPER2P2	CATSPER2 pseudogene 2				100127986	100127986	NG_009804
CATSPER3	cation channel sperm associated 3		CACRC	NM_178019	347732	347732	NM_178019
CATSPER4	cation channel sperm associated 4			NM_198137	378807	378807	NM_198137
CATSPERB	cation channel sperm associated auxiliary subunit beta	C14orf161	FLJ14298	NM_024764	79820	79820	NM_024764
CATSPERD	cation channel sperm associated auxiliary subunit delta	TMEM146	MGC39581	NM_152784	257062	257062	NM_152784
CATSPERE	catsper channel auxiliary subunit epsilon	C1orf101	MGC33370	NM_173807	257044	257044	NM_001130957
CATSPERG	cation channel sperm associated auxiliary subunit gamma	C19orf15	DKFZp434A1022, FLJ46353	NM_021185	57828	57828	NM_001330496
CATSPERZ	catsper channel auxiliary subunit zeta	C11orf20, TEX40	DKFZP566E164	NM_001039496	25858	25858	NM_001039496
CAV	symbol withdrawn, see [HGNC:1527](/data/gene-symbol-report/#!/hgnc_id/HGNC:1527)						
CAV1	caveolin 1	CAV		NM_001753	857	857	NM_001172895
CAV2	caveolin 2		CAV	NM_001233	858	858	NM_001206747
CAV3	caveolin 3		VIP-21, LGMD1C, VIP21, LQT9	NM_033337	859	859	NM_001234
CAVIN1	caveolae associated protein 1	PTRF	cavin-1, CGL4	NM_012232	284119	284119	NM_012232
